Month & Year,,RSPM / PM10,SO2,NO2
Jan-10,,8.2,13.6,37.6
Feb-10,,8.9,16,39
Mar-10,,7.4,13.3,42
Apr-10,,7,11.6,34
May-10,,7.9,12,38
Jun-10,,8.1,13.9,31
Jul-10,,8.3,15.6,27.2
Aug-10,,8,14.8,27.8
Sep-10,,7.5,32.5,25.4
Oct-10,,6.9,17.2,28
Nov-10,,7.8,18.9,22.5
Dec-10,,6.5,18.6,24.8
Jan-11,,8,12,48
Feb-11,,10,14,51
Mar-11,,8,14,48
Apr-11,,7,10,40
May-11,,7,11,28
Jun-11,,7,12,50
Jul-11,,8,11,46
Aug-11,,7,9,41
Sep-11,,8,16,32
Oct-11,,7,10,28
Nov-11,,8,10,36
Dec-11,,11,12,52
Jan-12,,8,12,20
Feb-12,,7,9,23
Mar-12,,8,11,43
Apr-12,,16,12,14
May-12,,13,16,29
Jun-12,,9,13,36
Jul-12,,9,13,47
Aug-12,,10,15,24
Sep-12,,11,16,21
Oct-12,,11,16,48
Nov-12,,9,21,34
Dec-12,,9,18,30
Jan-13,,75,5,16
Feb-13,,50,7,20
Mar-13,,44,5,23
Apr-13,,38,8,20
May-13,,50,11,22
Jun-13,,49,10,30
Jul-13,,50,12,19
Aug-13,,46,11,16
Sep-13,,47,11,16
Oct-13,,50,12,16
Nov-13,,69,12,18
Dec-13,,63,14,20
Jan-14,,64,17,21
Feb-14,,65,15,21
Mar-14,,65,13,17
Apr-14,,49,13,18
May-14,,46,13,18
Jun-14,,72,13,19
Jul-14,,67,12,17
Aug-14,,52,13,20
Sep-14,,50,13,20
Oct-14,,53,13,19
Nov-14,,51,14,19
Dec-14,,51,14,20
Jan-15,,51,13,19
Feb-15,,48,16,22
Mar-15,,50,16,21
Apr-15,,37,14,18
May-15,,43,15,18
Jun-15,,42,14,19
Jul-15,,46,13,17
Aug-15,,39,11,17
Sep-15,,44,14,16
Oct-15,,46,10,12
Nov-15,,32,11,44
Dec-15,,66,13,14
