Month & Year,,RSPM / PM10,SO2,NO2
Jan-10,,8.8,22,88
Feb-10,,8.2,13.6,37.6
Mar-10,,11.9,29,112
Apr-10,,12.8,29.3,144
May-10,,13,23,204
Jun-10,,8.9,20.9,114
Jul-10,,10.4,20.3,126.2
Aug-10,,8.3,15.6,27.2
Sep-10,,10.7,27.5,145.8
Oct-10,,12.4,36.9,156.4
Nov-10,,11.5,29.6,178.9
Dec-10,,7.4,17.6,111.5
Jan-11,,7,20,112
Feb-11,,10,22,127
Mar-11,,10,14,51
Apr-11,,12,24,128
May-11,,12,24,154
Jun-11,,13,27,222
Jul-11,,10,23,187
Aug-11,,8,14,48
Sep-11,,9,19,127
Oct-11,,10,23,148
Nov-11,,12,28,293
Dec-11,,9,20,136
Jan-12,,9,12,120
Feb-12,,10,14,165
Mar-12,,12,18,141
Apr-12,,12,21,101
May-12,,12,25,178
Jun-12,,11,24,128
Jul-12,,12,26,127
Aug-12,,13,19,136
Sep-12,,11,17,129
Oct-12,,12,18,85
Nov-12,,11,20,78
Dec-12,,8,22,93
Jan-13,,113,14,32
Feb-13,,120,9,30
Mar-13,,138,6,26
Apr-13,,105,9,22
May-13,,147,11,28
Jun-13,,125,12,26
Jul-13,,159,12,36
Aug-13,,104,12,23
Sep-13,,77,12,16
Oct-13,,96,14,18
Nov-13,,91,13,19
Dec-13,,79,15,19
Jan-14,,72,15,19
Feb-14,,79,17,23
Mar-14,,77,12,17
Apr-14,,66,14,20
May-14,,73,14,20
Jun-14,,78,13,20
Jul-14,,108,13,18
Aug-14,,59,13,30
Sep-14,,58,14,26
Oct-14,,51,13,23
Nov-14,,68,14,22
Dec-14,,66,16,21
Jan-15,,66,17,23
Feb-15,,63,18,24
Mar-15,,70,18,24
Apr-15,,70,15,20
May-15,,57,17,20
Jun-15,,133,16,22
Jul-15,,143,13,20
Aug-15,,69,12,16
Sep-15,,56,17,25
Oct-15,,70,13,18
Nov-15,,83,11,15
Dec-15,,115,11,15
