Month & Year,,RSPM / PM10,SO2,NO2
Jan-10,,11.9,29,112
Feb-10,,10.8,32.8,109
Mar-10,,11.2,31.6,137
Apr-10,,9.9,24.2,111
May-10,,10.9,33.4,109
Jun-10,,10.7,29,132
Jul-10,,10.7,27.5,145.8
Aug-10,,10.9,35.2,125.4
Sep-10,,11.9,37.8,144.5
Oct-10,,11.8,31.8,118.6
Nov-10,,10.8,29.1,62
Dec-10,,8.4,24.9,69.4
Jan-11,,7,12,155
Feb-11,,12,24,128
Mar-11,,9,19,127
Apr-11,,9,20,112
May-11,,10,26,144
Jun-11,,9,22,132
Jul-11,,9,23,114
Aug-11,,8,18,92
Sep-11,,11,24,110
Oct-11,,9,14,85
Nov-11,,10,19,50
Dec-11,,11,17,101
Jan-12,,9,18,131
Feb-12,,11,21,183
Mar-12,,12,33,253
Apr-12,,14,35,165
May-12,,16,40,207
Jun-12,,12,31,182
Jul-12,,12,22,112
Aug-12,,14,20,143
Sep-12,,15,24,166
Oct-12,,15,29,86
Nov-12,,15,28,78
Dec-12,,11,26,74
Jan-13,,102,10,51
Feb-13,,112,12,28
Mar-13,,117,6,22
Apr-13,,162,11,18
May-13,,169,12,38
Jun-13,,137,13,37
Jul-13,,149,15,42
Aug-13,,89,14,21
Sep-13,,96,15,23
Oct-13,,88,16,21
Nov-13,,97,23,14
Dec-13,,80,21,27
Jan-14,,80,23,26
Feb-14,,91,23,30
Mar-14,,94,17,24
Apr-14,,85,19,26
May-14,,76,20,28
Jun-14,,103,19,31
Jul-14,,131,18,30
Aug-14,,81,17,25
Sep-14,,67,19,26
Oct-14,,74,16,24
Nov-14,,93,19,27
Dec-14,,78,20,27
Jan-15,,71,21,26
Feb-15,,67,20,27
Mar-15,,71,19,25
Apr-15,,99,22,16
May-15,,128,19,28
Jun-15,,78,18,23
Jul-15,,99,15,21
Aug-15,,51,13,18
Sep-15,,45,19,19
Oct-15,,71,13,18
Nov-15,,57,14,18
Dec-15,,112,11,15
